0000-0001-5000-223X,"('0000-0002-9540-6622', 0.125)","('0000-0002-8338-864X', 0.125)","('0000-0002-5721-1656', 0.125)","('0000-0003-4998-9406', 0.0)","('0000-0001-5000-223X', 0.0)"
0000-0001-5002-827X,"('0000-0002-1515-8260', 0.4)","('0000-0003-4931-752X', 0.0)","('0000-0001-5026-9815', 0.0)","('0000-0003-4998-9406', 0.0)","('0000-0001-5000-223X', 0.0)"
0000-0001-5009-9369,"('0000-0003-2453-5838', 0.125)","('0000-0002-8586-5884', 0.125)","('0000-0001-5026-9815', 0.0)","('0000-0003-4998-9406', 0.0)","('0000-0001-5000-223X', 0.0)"
0000-0001-5012-1140,"('0000-0003-2946-1962', 0.2222222222222222)","('0000-0002-1055-4539', 0.1111111111111111)","('0000-0001-6474-8577', 0.1111111111111111)","('0000-0003-4998-9406', 0.0)","('0000-0001-5000-223X', 0.0)"
0000-0001-5012-4309,"('0000-0002-1812-1519', 0.25)","('0000-0003-4931-752X', 0.0)","('0000-0001-5026-9815', 0.0)","('0000-0003-4998-9406', 0.0)","('0000-0001-5000-223X', 0.0)"
0000-0001-5012-654X,"('0000-0002-9870-0966', 0.6)","('0000-0002-5704-582X', 0.4)","('0000-0001-5026-9815', 0.0)","('0000-0003-4998-9406', 0.0)","('0000-0001-5000-223X', 0.0)"
0000-0001-5017-5421,"('0000-0002-9521-4102', 0.0869565217391304)","('0000-0001-7867-1240', 0.0869565217391304)","('0000-0003-0998-503X', 0.0434782608695652)","('0000-0002-6698-7368', 0.0434782608695652)","('0000-0001-5000-223X', 0.0)"
0000-0001-5018-7641,"('0000-0001-5685-7343', 0.2558139534883721)","('0000-0001-5188-7957', 0.0930232558139534)","('0000-0003-1449-6708', 0.0465116279069767)","('0000-0002-0990-4108', 0.0465116279069767)","('0000-0001-5670-8559', 0.0465116279069767)"
0000-0001-5018-8505,"('0000-0002-8576-1460', 0.2)","('0000-0001-5311-1116', 0.2)","('0000-0001-5026-9815', 0.0)","('0000-0003-4998-9406', 0.0)","('0000-0001-5000-223X', 0.0)"
0000-0001-5019-1712,"('0000-0001-5361-7678', 1.0)","('0000-0003-4931-752X', 0.0)","('0000-0001-5026-9815', 0.0)","('0000-0003-4998-9406', 0.0)","('0000-0001-5000-223X', 0.0)"
0000-0001-5024-2057,"('0000-0003-0930-5356', 0.5)","('0000-0002-8874-0083', 0.5)","('0000-0001-5026-9815', 0.0)","('0000-0003-4998-9406', 0.0)","('0000-0001-5000-223X', 0.0)"
0000-0001-5025-7937,"('0000-0002-7429-4086', 0.4)","('0000-0001-7219-0817', 0.4)","('0000-0001-5026-9815', 0.0)","('0000-0003-4998-9406', 0.0)","('0000-0001-5000-223X', 0.0)"
0000-0001-5026-9815,"('0000-0003-3316-2527', 1.0)","('0000-0003-1395-9344', 0.5)","('0000-0001-8242-9262', 0.5)","('0000-0001-6471-3358', 0.5)","('0000-0002-8925-1863', 0.25)"
0000-0001-5028-2032,"('0000-0003-1748-1296', 1.0)","('0000-0003-4931-752X', 0.0)","('0000-0001-5026-9815', 0.0)","('0000-0003-4998-9406', 0.0)","('0000-0001-5000-223X', 0.0)"
0000-0001-5031-468X,"('0000-0001-5108-8338', 0.4130434782608695)","('0000-0001-7572-4300', 0.391304347826087)","('0000-0001-9596-3552', 0.0652173913043478)","('0000-0002-8797-2667', 0.0434782608695652)","('0000-0003-4454-2576', 0.0217391304347826)"
0000-0001-5031-8672,"('0000-0003-4100-6022', 0.0909090909090909)","('0000-0001-6484-8105', 0.0909090909090909)","('0000-0001-5026-9815', 0.0)","('0000-0003-4998-9406', 0.0)","('0000-0001-5000-223X', 0.0)"
0000-0001-5033-5069,"('0000-0002-7559-3299', 0.1111111111111111)","('0000-0003-4931-752X', 0.0)","('0000-0001-5026-9815', 0.0)","('0000-0003-4998-9406', 0.0)","('0000-0001-5000-223X', 0.0)"
0000-0001-5034-4395,"('0000-0003-2334-3578', 0.0769230769230769)","('0000-0003-4931-752X', 0.0)","('0000-0001-5026-9815', 0.0)","('0000-0003-4998-9406', 0.0)","('0000-0001-5000-223X', 0.0)"
0000-0001-5037-6653,"('0000-0002-2147-2731', 0.5416666666666666)","('0000-0003-4931-752X', 0.0)","('0000-0001-5026-9815', 0.0)","('0000-0003-4998-9406', 0.0)","('0000-0001-5000-223X', 0.0)"
0000-0001-5042-9532,"('0000-0002-2766-8882', 0.1142857142857142)","('0000-0003-0660-6110', 0.0285714285714285)","('0000-0002-5346-2829', 0.0285714285714285)","('0000-0002-2172-7394', 0.0285714285714285)","('0000-0001-7680-3254', 0.0285714285714285)"
0000-0001-5043-7233,"('0000-0002-7698-8970', 0.0952380952380952)","('0000-0003-4929-5316', 0.0476190476190476)","('0000-0001-5026-9815', 0.0)","('0000-0003-4998-9406', 0.0)","('0000-0001-5000-223X', 0.0)"
0000-0001-5045-7293,"('0000-0003-2540-539X', 0.0232558139534883)","('0000-0003-0599-3091', 0.0232558139534883)","('0000-0002-3594-7136', 0.0232558139534883)","('0000-0001-8996-1518', 0.0232558139534883)","('0000-0001-5000-223X', 0.0)"
0000-0001-5045-819X,"('0000-0003-1376-8409', 0.0517241379310344)","('0000-0003-2309-1171', 0.0344827586206896)","('0000-0002-1755-2819', 0.0344827586206896)","('0000-0002-0278-7543', 0.0344827586206896)","('0000-0001-9372-5526', 0.0344827586206896)"
0000-0001-5050-2509,"('0000-0003-1149-9428', 0.0588235294117647)","('0000-0003-4931-752X', 0.0)","('0000-0001-5026-9815', 0.0)","('0000-0003-4998-9406', 0.0)","('0000-0001-5000-223X', 0.0)"
0000-0001-5052-8610,"('0000-0003-3012-2626', 0.1666666666666666)","('0000-0003-2197-0842', 0.0833333333333333)","('0000-0001-8794-4175', 0.0833333333333333)","('0000-0001-6434-7757', 0.0833333333333333)","('0000-0001-5000-223X', 0.0)"
0000-0001-5054-0150,"('0000-0003-0181-5597', 0.0384615384615384)","('0000-0003-4931-752X', 0.0)","('0000-0001-5026-9815', 0.0)","('0000-0003-4998-9406', 0.0)","('0000-0001-5000-223X', 0.0)"
0000-0001-5055-5790,"('0000-0003-4319-2797', 1.0)","('0000-0003-4931-752X', 0.0)","('0000-0001-5026-9815', 0.0)","('0000-0003-4998-9406', 0.0)","('0000-0001-5000-223X', 0.0)"
0000-0001-5055-9046,"('0000-0002-4564-4702', 0.0666666666666666)","('0000-0003-4931-752X', 0.0)","('0000-0001-5026-9815', 0.0)","('0000-0003-4998-9406', 0.0)","('0000-0001-5000-223X', 0.0)"
0000-0001-5057-5660,"('0000-0001-9157-8761', 0.2857142857142857)","('0000-0003-4537-1318', 0.1428571428571428)","('0000-0002-8422-8664', 0.0476190476190476)","('0000-0003-4998-9406', 0.0)","('0000-0001-5000-223X', 0.0)"
0000-0001-5062-1938,"('0000-0002-7800-6045', 0.1323529411764706)","('0000-0003-0232-7077', 0.0588235294117647)","('0000-0001-9596-3552', 0.0588235294117647)","('0000-0002-6588-4308', 0.0441176470588235)","('0000-0002-0036-4651', 0.0441176470588235)"
0000-0001-5063-4333,"('0000-0002-3224-6078', 0.125)","('0000-0003-0370-7872', 0.0625)","('0000-0001-5026-9815', 0.0)","('0000-0003-4998-9406', 0.0)","('0000-0001-5000-223X', 0.0)"
0000-0001-5063-6961,"('0000-0001-6326-8299', 0.0348837209302325)","('0000-0002-9754-9248', 0.0232558139534883)","('0000-0003-4845-4418', 0.0116279069767441)","('0000-0002-5905-5108', 0.0116279069767441)","('0000-0002-3253-3608', 0.0116279069767441)"
0000-0001-5067-4327,"('0000-0002-9290-1804', 0.125)","('0000-0002-1345-6360', 0.0416666666666666)","('0000-0001-8438-2066', 0.0416666666666666)","('0000-0001-8166-069X', 0.0416666666666666)","('0000-0001-7265-4036', 0.0416666666666666)"
0000-0001-5069-2461,"('0000-0002-4401-2340', 0.0144927536231884)","('0000-0002-4314-048X', 0.0144927536231884)","('0000-0002-0831-8422', 0.0144927536231884)","('0000-0003-4998-9406', 0.0)","('0000-0001-5000-223X', 0.0)"
