codigo_autor,codigo_coautor,num_coautorías,num_publicaciones_totales,coautorías_normalizadas
0000-0002-5486-0407,0000-0002-4150-0496,2,27,0.07407407407407407
0000-0002-4150-0496,0000-0002-5486-0407,2,19,0.10526315789473684
0000-0002-3740-7598,0000-0002-6004-6196,5,5,1.0
0000-0002-6004-6196,0000-0002-3740-7598,5,24,0.20833333333333334
0000-0002-2452-3098,0000-0001-9329-8501,1,23,0.043478260869565216
0000-0002-2452-3098,0000-0001-9222-8763,1,23,0.043478260869565216
0000-0001-9329-8501,0000-0002-2452-3098,1,106,0.009433962264150943
0000-0001-9329-8501,0000-0001-9222-8763,1,106,0.009433962264150943
0000-0001-9222-8763,0000-0002-2452-3098,1,2,0.5
0000-0001-9222-8763,0000-0001-9329-8501,1,2,0.5
0000-0002-6985-4907,0000-0002-8396-0968,62,69,0.8985507246376812
0000-0002-8396-0968,0000-0002-6985-4907,62,62,1.0
0000-0002-4896-5982,0000-0003-1375-8067,1,74,0.013513513513513514
0000-0003-1375-8067,0000-0002-4896-5982,1,13,0.07692307692307693
0000-0003-4975-8587,0000-0002-2036-7884,26,36,0.7222222222222222
0000-0002-2036-7884,0000-0003-4975-8587,26,54,0.48148148148148145
0000-0001-6525-8414,0000-0002-5084-360X,4,34,0.11764705882352941
0000-0002-5084-360X,0000-0001-6525-8414,4,16,0.25
0000-0002-9595-3220,0000-0001-9487-6617,77,188,0.4095744680851064
0000-0001-9487-6617,0000-0002-9595-3220,77,157,0.49044585987261147
0000-0001-9848-6579,0000-0002-3971-7872,8,21,0.38095238095238093
0000-0001-9848-6579,0000-0002-2323-530X,18,21,0.8571428571428571
0000-0002-3971-7872,0000-0001-9848-6579,8,8,1.0
0000-0002-3971-7872,0000-0002-2323-530X,5,8,0.625
0000-0002-2323-530X,0000-0001-9848-6579,18,18,1.0
0000-0002-2323-530X,0000-0002-3971-7872,5,18,0.2777777777777778
0000-0002-6526-5566,0000-0002-2515-7560,11,59,0.1864406779661017
0000-0002-2515-7560,0000-0002-6526-5566,11,35,0.3142857142857143
0000-0003-4216-8701,0000-0001-6482-8067,6,15,0.4
0000-0001-6482-8067,0000-0003-4216-8701,6,81,0.07407407407407407
0000-0002-4502-6664,0000-0002-8035-8904,23,52,0.4423076923076923
0000-0002-8035-8904,0000-0002-4502-6664,23,25,0.92
0000-0002-9358-816X,0000-0002-1477-2218,1,2,0.5
0000-0002-1477-2218,0000-0002-9358-816X,1,7,0.14285714285714285
0000-0002-0943-0483,0000-0001-9072-8828,1,4,0.25
0000-0001-9072-8828,0000-0002-0943-0483,1,50,0.02
0000-0002-7572-9504,0000-0001-8068-5289,55,77,0.7142857142857143
0000-0001-8068-5289,0000-0002-7572-9504,55,107,0.514018691588785
0000-0001-9176-2382,0000-0002-8624-7738,5,108,0.046296296296296294
0000-0002-8624-7738,0000-0001-9176-2382,5,32,0.15625
0000-0002-5878-9062,0000-0002-2068-7861,1,1,1.0
0000-0002-5878-9062,0000-0003-0779-6665,1,1,1.0
0000-0002-5878-9062,0000-0003-3514-1025,1,1,1.0
0000-0002-2068-7861,0000-0002-5878-9062,1,21,0.047619047619047616
0000-0002-2068-7861,0000-0003-0779-6665,3,21,0.14285714285714285
0000-0002-2068-7861,0000-0003-3514-1025,2,21,0.09523809523809523
0000-0003-0779-6665,0000-0002-5878-9062,1,7,0.14285714285714285
0000-0003-0779-6665,0000-0002-2068-7861,3,7,0.42857142857142855
0000-0003-0779-6665,0000-0003-3514-1025,5,7,0.7142857142857143
0000-0003-3514-1025,0000-0002-5878-9062,1,8,0.125
0000-0003-3514-1025,0000-0002-2068-7861,2,8,0.25
0000-0003-3514-1025,0000-0003-0779-6665,5,8,0.625
0000-0003-2614-0303,0000-0002-7961-742X,5,116,0.04310344827586207
0000-0002-7961-742X,0000-0003-2614-0303,5,5,1.0
0000-0001-8219-9807,0000-0003-2184-7692,2,26,0.07692307692307693
0000-0003-2184-7692,0000-0001-8219-9807,2,68,0.029411764705882353
0000-0002-5642-8378,0000-0002-5031-1013,1,25,0.04
0000-0002-5031-1013,0000-0002-5642-8378,1,175,0.005714285714285714
0000-0002-6628-649X,0000-0002-9835-9606,3,50,0.06
0000-0002-9835-9606,0000-0002-6628-649X,3,19,0.15789473684210525
0000-0003-1014-6225,0000-0001-5578-236X,1,41,0.024390243902439025
0000-0001-5578-236X,0000-0003-1014-6225,1,179,0.00558659217877095
0000-0002-7812-9029,0000-0002-1397-511X,1,14,0.07142857142857142
0000-0002-1397-511X,0000-0002-7812-9029,1,61,0.01639344262295082
0000-0001-6046-610X,0000-0003-2126-7209,4,45,0.08888888888888889
0000-0003-2126-7209,0000-0001-6046-610X,4,43,0.09302325581395349
0000-0002-2157-4797,0000-0002-4852-6277,4,146,0.0273972602739726
0000-0002-4852-6277,0000-0002-2157-4797,4,6,0.6666666666666666
0000-0002-8406-5121,0000-0001-5069-4758,3,4,0.75
0000-0001-5069-4758,0000-0002-8406-5121,3,13,0.23076923076923078
0000-0002-3413-6841,0000-0001-6966-0814,4,76,0.05263157894736842
0000-0001-6966-0814,0000-0002-3413-6841,4,29,0.13793103448275862
0000-0002-9511-2173,0000-0001-9402-7439,11,53,0.20754716981132076
0000-0001-9402-7439,0000-0002-9511-2173,11,205,0.05365853658536585
0000-0002-5551-1401,0000-0003-3547-6634,1,68,0.014705882352941176
0000-0003-3547-6634,0000-0002-5551-1401,1,11,0.09090909090909091
0000-0002-6985-4907,0000-0001-9207-5787,5,69,0.07246376811594203
0000-0002-6985-4907,0000-0002-8356-894X,4,69,0.057971014492753624
0000-0001-9207-5787,0000-0002-6985-4907,5,10,0.5
0000-0001-9207-5787,0000-0002-8356-894X,9,10,0.9
0000-0001-9207-5787,0000-0002-8396-0968,5,10,0.5
0000-0002-8356-894X,0000-0002-6985-4907,4,10,0.4
0000-0002-8356-894X,0000-0001-9207-5787,9,10,0.9
0000-0002-8356-894X,0000-0002-8396-0968,4,10,0.4
0000-0002-8396-0968,0000-0001-9207-5787,5,62,0.08064516129032258
0000-0002-8396-0968,0000-0002-8356-894X,4,62,0.06451612903225806
0000-0002-7382-0080,0000-0002-4524-9403,3,67,0.04477611940298507
0000-0002-4524-9403,0000-0002-7382-0080,3,7,0.42857142857142855
0000-0002-9920-936X,0000-0002-1761-117X,4,7,0.5714285714285714
0000-0002-1761-117X,0000-0002-9920-936X,4,6,0.6666666666666666
0000-0001-6185-9423,0000-0002-9081-2699,12,20,0.6
0000-0002-9081-2699,0000-0001-6185-9423,12,84,0.14285714285714285
0000-0001-6940-7608,0000-0001-8426-8490,41,42,0.9761904761904762
0000-0001-8426-8490,0000-0001-6940-7608,41,55,0.7454545454545455
0000-0002-5214-540X,0000-0002-6031-9254,4,16,0.25
0000-0002-6031-9254,0000-0002-5214-540X,4,18,0.2222222222222222
0000-0002-3894-9049,0000-0001-6930-2988,1,7,0.14285714285714285
0000-0001-6930-2988,0000-0002-3894-9049,1,16,0.0625
0000-0002-4574-3292,0000-0001-6320-413X,23,85,0.27058823529411763
0000-0001-6320-413X,0000-0002-4574-3292,23,24,0.9583333333333334
0000-0002-1975-1141,0000-0002-7966-1973,6,100,0.06
