,codigo_autor,codigo_coautor,num_publicaciones
0,0000-0002-5486-0407,0000-0002-4150-0496,2
1,0000-0002-4150-0496,0000-0002-5486-0407,2
2,0000-0002-3740-7598,0000-0002-6004-6196,5
3,0000-0002-6004-6196,0000-0002-3740-7598,5
4,0000-0002-2452-3098,0000-0001-9329-8501,1
5,0000-0002-2452-3098,0000-0001-9222-8763,1
6,0000-0001-9329-8501,0000-0002-2452-3098,1
7,0000-0001-9329-8501,0000-0001-9222-8763,1
8,0000-0001-9222-8763,0000-0002-2452-3098,1
9,0000-0001-9222-8763,0000-0001-9329-8501,1
10,0000-0002-6985-4907,0000-0002-8396-0968,62
11,0000-0002-8396-0968,0000-0002-6985-4907,62
12,0000-0002-4896-5982,0000-0003-1375-8067,1
13,0000-0003-1375-8067,0000-0002-4896-5982,1
14,0000-0003-4975-8587,0000-0002-2036-7884,26
15,0000-0002-2036-7884,0000-0003-4975-8587,26
16,0000-0001-6525-8414,0000-0002-5084-360X,4
17,0000-0002-5084-360X,0000-0001-6525-8414,4
18,0000-0002-9595-3220,0000-0001-9487-6617,77
19,0000-0001-9487-6617,0000-0002-9595-3220,77
20,0000-0001-9848-6579,0000-0002-3971-7872,8
21,0000-0001-9848-6579,0000-0002-2323-530X,18
22,0000-0002-3971-7872,0000-0001-9848-6579,8
23,0000-0002-3971-7872,0000-0002-2323-530X,5
24,0000-0002-2323-530X,0000-0001-9848-6579,18
25,0000-0002-2323-530X,0000-0002-3971-7872,5
26,0000-0002-6526-5566,0000-0002-2515-7560,11
27,0000-0002-2515-7560,0000-0002-6526-5566,11
28,0000-0003-4216-8701,0000-0001-6482-8067,6
29,0000-0001-6482-8067,0000-0003-4216-8701,6
30,0000-0002-4502-6664,0000-0002-8035-8904,23
31,0000-0002-8035-8904,0000-0002-4502-6664,23
32,0000-0002-9358-816X,0000-0002-1477-2218,1
33,0000-0002-1477-2218,0000-0002-9358-816X,1
34,0000-0002-0943-0483,0000-0001-9072-8828,1
35,0000-0001-9072-8828,0000-0002-0943-0483,1
36,0000-0002-7572-9504,0000-0001-8068-5289,55
37,0000-0001-8068-5289,0000-0002-7572-9504,55
38,0000-0001-9176-2382,0000-0002-8624-7738,5
39,0000-0002-8624-7738,0000-0001-9176-2382,5
40,0000-0002-5878-9062,0000-0002-2068-7861,1
41,0000-0002-5878-9062,0000-0003-0779-6665,1
42,0000-0002-5878-9062,0000-0003-3514-1025,1
43,0000-0002-2068-7861,0000-0002-5878-9062,1
44,0000-0002-2068-7861,0000-0003-0779-6665,3
45,0000-0002-2068-7861,0000-0003-3514-1025,2
46,0000-0003-0779-6665,0000-0002-5878-9062,1
47,0000-0003-0779-6665,0000-0002-2068-7861,3
48,0000-0003-0779-6665,0000-0003-3514-1025,5
