Unnamed: 0,codigo_autor,publicaciones_totales
0,0000-0001-7984-8909,227
1,0000-0001-8617-0200,26
3,0000-0002-9326-4413,9
4,0000-0003-2668-4992,28
5,0000-0002-0175-554X,66
6,0000-0002-9890-5056,27
7,0000-0002-5554-6946,310
8,0000-0002-1595-4080,8
9,0000-0001-6897-8003,19
10,0000-0003-1894-4870,38
12,0000-0002-2126-6778,8
13,0000-0001-7108-6508,75
14,0000-0002-0749-9647,58
15,0000-0003-1869-5800,27
16,0000-0002-5137-776X,15
17,0000-0002-9265-6896,35
18,0000-0001-5549-1394,30
19,0000-0003-4431-6501,16
20,0000-0002-9493-9224,53
21,0000-0001-8518-6307,169
22,0000-0002-5486-0407,27
23,0000-0002-4150-0496,19
24,0000-0003-0142-7527,12
25,0000-0002-8553-2641,68
26,0000-0002-7086-4096,113
27,0000-0002-8839-6462,42
30,0000-0002-0520-1843,30
31,0000-0002-2151-6394,53
32,0000-0002-5109-0267,16
33,0000-0002-8416-5173,18
34,0000-0002-6411-626X,108
35,0000-0001-7564-4079,73
37,0000-0002-6004-6196,24
38,0000-0003-4731-3293,6
40,0000-0002-1242-1959,46
41,0000-0002-5691-4659,67
42,0000-0002-0304-6317,56
43,0000-0002-1606-9817,5
44,0000-0002-3040-4095,19
45,0000-0001-9310-6514,16
46,0000-0002-2452-3098,23
47,0000-0001-9329-8501,106
48,0000-0001-9222-8763,2
49,0000-0002-8133-4955,76
50,0000-0002-5581-7937,142
52,0000-0003-0438-8244,15
53,0000-0002-6985-4907,69
54,0000-0002-8396-0968,62
55,0000-0002-5398-0597,69
56,0000-0002-3839-336X,19
57,0000-0003-3566-9399,156
58,0000-0001-8540-9785,6
59,0000-0003-2029-6606,16
61,0000-0001-8753-3528,24
62,0000-0002-7098-5090,36
63,0000-0001-7189-7917,293
64,0000-0002-2549-0523,45
65,0000-0002-4896-5982,74
66,0000-0003-1375-8067,13
67,0000-0002-6866-8571,102
68,0000-0002-8484-0618,37
70,0000-0001-6072-2353,31
71,0000-0003-4975-8587,36
72,0000-0002-2036-7884,54
73,0000-0003-0393-5090,7
74,0000-0002-0339-4944,229
75,0000-0002-1699-5060,66
77,0000-0001-6525-8414,34
78,0000-0002-5084-360X,16
79,0000-0003-4288-3203,13
80,0000-0002-9193-5981,35
81,0000-0002-6133-2581,11
83,0000-0001-9583-7505,53
84,0000-0002-9595-3220,188
85,0000-0001-9487-6617,157
86,0000-0003-2230-645X,116
87,0000-0001-6937-3065,126
88,0000-0002-6562-176X,24
89,0000-0003-3133-2844,11
90,0000-0002-5301-3142,30
91,0000-0002-2157-4797,146
92,0000-0001-9848-6579,21
93,0000-0002-3971-7872,8
94,0000-0002-2323-530X,18
95,0000-0002-2506-0769,29
96,0000-0002-0649-5185,67
97,0000-0003-4243-1127,59
98,0000-0002-7464-0217,89
99,0000-0003-1837-2382,19
100,0000-0002-6898-7011,58
101,0000-0002-6526-5566,59
102,0000-0002-2515-7560,35
103,0000-0003-4216-8701,15
104,0000-0001-6482-8067,81
105,0000-0002-6018-4724,45
106,0000-0003-0941-8537,55
107,0000-0002-5687-0334,86
108,0000-0002-9607-819X,123
109,0000-0002-0090-6289,174
110,0000-0002-1774-8088,44
111,0000-0002-4502-6664,52
112,0000-0002-8035-8904,25
113,0000-0002-1106-6123,50
115,0000-0001-5520-4930,8
116,0000-0003-4786-4773,37
117,0000-0003-4817-8986,75
119,0000-0001-8116-4821,15
120,0000-0003-2197-2477,20
123,0000-0003-4415-4143,47
124,0000-0003-4501-0387,22
125,0000-0002-3381-1884,28
126,0000-0002-1102-8506,35
127,0000-0001-8974-1494,55
129,0000-0002-1477-2218,7
132,0000-0001-9072-8828,50
133,0000-0001-5131-0541,31
135,0000-0002-0855-5313,60
136,0000-0003-3692-999X,10
137,0000-0002-6542-6235,43
138,0000-0002-0106-1150,345
139,0000-0001-9540-3010,101
140,0000-0001-7113-9024,55
141,0000-0002-9167-2114,68
142,0000-0002-6296-4484,121
143,0000-0003-0947-925X,46
144,0000-0002-4990-425X,37
145,0000-0002-6167-9147,53
146,0000-0002-0985-8818,52
147,0000-0002-7538-4761,24
148,0000-0002-6318-6506,14
149,0000-0002-0217-4827,54
150,0000-0002-7572-9504,77
151,0000-0001-8068-5289,107
152,0000-0001-9176-2382,108
