C,Precision,Recall,F1
0.05,0.13170000000000004,0.4863316389406947,0.18968522114174236
0.1,0.14470000000000002,0.5238863581980454,0.20722285551516792
0.15,0.14780000000000001,0.5297884717707473,0.21107078397187343
0.2,0.1495,0.533685486744078,0.21323770404274983
0.25,0.1496,0.5332353405452477,0.21330053449622455
0.3,0.14970000000000003,0.5324823643547716,0.21343595544782198
0.35,0.1495,0.5328659483146712,0.21320712268491213
0.4,0.1494,0.5321992816480046,0.21302763550542494
0.45,0.14900000000000002,0.5322766626003855,0.21257411288425526
0.5,0.14940000000000003,0.5352202523439753,0.21318601113093613
0.55,0.14930000000000002,0.5354766626003854,0.21314072127586364
0.6,0.1491,0.5342599959337189,0.2128035784187208
0.65,0.1491,0.5352242816480045,0.21289295962574908
0.7,0.149,0.5348242816480046,0.21271411347190292
0.75,0.14940000000000003,0.5352544925920313,0.21308337497798516
0.8,0.1491,0.533721159258698,0.21261437730898752
0.85,0.1491,0.532971159258698,0.2125754162700265
0.9,0.14920000000000003,0.5321116354491742,0.21267481050324424
